,CustomerID,Age,TransactionCount,Recency,AverageAmount,TotalAmount,Segment
409,C1034459,29,1,140,101.0,101.0,Hibernating Customers
410,C1034517,26,1,129,420.0,420.0,Other
411,C1034520,35,1,136,529.0,529.0,Other
412,C1034524,27,1,127,180.0,180.0,Other
413,C1034551,36,1,139,444.0,444.0,Other
414,C1034587,27,1,131,150.0,150.0,Other
415,C1034918,25,1,109,200.0,200.0,Other
416,C1035056,27,1,128,50.0,50.0,New Customers
417,C1035121,38,1,105,737.0,737.0,Other
418,C1035122,25,1,54,41.0,41.0,New Customers
419,C1035241,34,1,327,732.0,732.0,Big Spenders
420,C1035337,27,1,145,150.0,150.0,Hibernating Customers
421,C1035435,33,1,134,174.0,174.0,Other
422,C1035438,25,1,110,199.0,199.0,Other
423,C1035448,28,1,125,436.0,436.0,Other
424,C1035450,27,1,24,100.0,100.0,New Customers
425,C1035579,40,1,124,720.0,720.0,Other
426,C1035614,24,1,124,10.0,10.0,New Customers
427,C1035749,32,1,238,20.0,20.0,Hibernating Customers
428,C1035849,26,1,125,100.0,100.0,New Customers
429,C1035914,30,1,267,900.0,900.0,Big Spenders
430,C1035955,26,1,109,50.0,50.0,New Customers
431,C1035971,30,1,267,551.0,551.0,Big Spenders
432,C1036035,25,1,133,799.0,799.0,Other
433,C1036085,23,1,123,50.0,50.0,New Customers
434,C1036114,26,1,24,606.9,606.9,Other
435,C1036115,30,1,53,342.0,342.0,Other
436,C1036131,23,1,176,100.0,100.0,Hibernating Customers
437,C1036277,22,1,137,160.0,160.0,Other
438,C1036389,26,1,177,259.0,259.0,Hibernating Customers
439,C1036434,29,1,24,50.0,50.0,New Customers
440,C1036443,28,1,141,100.0,100.0,Hibernating Customers
441,C1036460,39,1,328,953.0,953.0,Big Spenders
442,C1036581,42,1,176,1000.0,1000.0,Big Spenders
443,C1036636,23,1,298,721.0,721.0,Big Spenders
444,C1036675,25,1,358,60.0,60.0,Hibernating Customers
445,C1036692,30,1,134,300.0,300.0,Other
446,C1036859,37,1,359,500.0,500.0,Big Spenders
447,C1037074,32,1,328,100.87,100.87,Hibernating Customers
448,C1037084,22,1,207,131.0,131.0,Hibernating Customers
449,C1037086,35,1,138,30.0,30.0,Other
450,C1037148,29,1,267,615.0,615.0,Big Spenders
451,C1037323,24,1,98,96.0,96.0,New Customers
452,C1037330,26,1,299,544.0,544.0,Big Spenders
453,C1037450,39,1,54,1000.0,1000.0,Other
454,C1037453,33,1,327,50.0,50.0,Hibernating Customers
455,C1037566,37,1,140,50.0,50.0,Hibernating Customers
456,C1037781,26,1,127,78.0,78.0,New Customers
457,C1037856,37,1,136,45.0,45.0,Other
458,C1037873,24,1,177,743.0,743.0,Big Spenders
459,C1037881,23,1,146,582.3,582.3,Big Spenders
460,C1037959,33,1,124,1000.0,1000.0,Other
461,C1037962,37,1,98,550.0,550.0,Other
462,C1037970,32,1,206,457.0,457.0,Big Spenders
463,C1037981,24,1,139,110.0,110.0,Other
464,C1038243,27,1,110,30.0,30.0,New Customers
465,C1038336,25,1,138,549.0,549.0,Other
466,C1038351,29,1,132,50.0,50.0,Other
467,C1038490,28,1,125,300.0,300.0,Other
468,C1038531,26,1,267,400.0,400.0,Big Spenders
469,C1038546,31,1,177,500.0,500.0,Big Spenders
470,C1038618,33,1,84,211.15,211.15,Other
471,C1038686,21,1,135,70.0,70.0,Other
472,C1038829,27,1,133,300.0,300.0,Other
473,C1038891,27,1,109,200.0,200.0,Other
474,C1038991,27,1,206,30.0,30.0,Hibernating Customers
475,C1039017,24,1,359,195.0,195.0,Hibernating Customers
476,C1039083,24,1,129,50.0,50.0,Other
477,C1039125,21,1,146,990.0,990.0,Big Spenders
478,C1039151,32,2,177,208.5,417.0,Other
479,C1039411,23,1,123,28.0,28.0,New Customers
480,C1039416,34,1,358,50.0,50.0,Hibernating Customers
481,C1039418,34,1,298,760.0,760.0,Big Spenders
482,C1039514,33,1,127,180.0,180.0,Other
483,C1039517,25,1,299,100.0,100.0,Hibernating Customers
484,C1039592,26,1,237,307.0,307.0,Big Spenders
485,C1039776,31,1,176,100.0,100.0,Hibernating Customers
486,C1039850,36,1,105,668.0,668.0,Other
487,C1039878,25,1,135,146.0,146.0,Other
488,C1039955,23,1,135,1.0,1.0,Other
489,C1039989,28,1,136,198.0,198.0,Other
490,C1040041,28,1,127,500.0,500.0,Other
491,C1040042,32,1,54,1000.0,1000.0,Other
492,C1040082,29,1,145,250.0,250.0,Hibernating Customers
493,C1040166,33,1,206,100.0,100.0,Hibernating Customers
494,C1040180,21,1,132,328.5,328.5,Other
495,C1040348,32,1,206,50.0,50.0,Hibernating Customers
496,C1040419,27,1,24,97.0,97.0,New Customers
497,C1040523,24,1,54,200.0,200.0,Other
498,C1040628,24,1,237,120.0,120.0,Hibernating Customers
499,C1040779,32,1,96,100.0,100.0,New Customers
500,C1040821,37,1,108,474.0,474.0,Other
501,C1040850,26,1,110,600.0,600.0,Other
502,C1040884,31,1,141,286.59,286.59,Hibernating Customers
503,C1040933,24,1,126,50.0,50.0,New Customers
504,C1040955,27,1,114,100.0,100.0,New Customers
505,C1041158,25,1,108,94.77,94.77,New Customers
506,C1041183,23,1,177,70.0,70.0,Hibernating Customers
507,C1041215,30,1,127,856.0,856.0,Other
508,C1041246,23,2,54,50.0,100.0,Other
509,C1041454,29,1,358,249.0,249.0,Hibernating Customers
510,C1041565,28,1,54,500.0,500.0,Other
511,C1041656,25,1,327,342.63,342.63,Big Spenders
512,C1041814,32,1,238,524.47,524.47,Big Spenders
513,C1041838,31,1,135,803.0,803.0,Other
514,C1041846,26,1,138,200.0,200.0,Other
515,C1042059,31,1,130,250.0,250.0,Other
516,C1042079,33,1,177,192.0,192.0,Hibernating Customers
517,C1042180,24,1,145,280.0,280.0,Hibernating Customers
518,C1042238,25,1,110,182.0,182.0,Other
519,C1042257,36,1,110,186.0,186.0,Other
520,C1042369,25,1,125,20.0,20.0,New Customers
521,C1042539,35,1,137,6.0,6.0,Other
522,C1042560,29,1,138,60.0,60.0,Other
523,C1042571,27,1,146,60.0,60.0,Hibernating Customers
524,C1042616,21,1,358,198.0,198.0,Hibernating Customers
525,C1042738,34,1,268,102.0,102.0,Hibernating Customers
